Date,Average Price (EUR/MWh)
2018-01-01,34.912662499999826
2018-01-02,34.71326666666642
2018-01-03,26.897313333333102
2018-01-04,26.95424499999979
2018-01-05,21.379437499999952
2018-01-06,31.59119583333306
2018-01-07,38.17573250000004
2018-01-08,37.79079583333355
2018-01-09,40.97949250000028
2018-01-10,43.06819666666694
2018-01-11,39.10564916666664
2018-01-12,41.299592500000166
2018-01-13,38.86499916666688
2018-01-14,38.51396333333352
2018-01-15,39.93919249999992
2018-01-16,35.8188841666668
2018-01-17,30.936982500000074
2018-01-18,37.88808583333339
2018-01-19,43.67969750000007
2018-01-20,50.646176666666925
2018-01-21,56.75477083333357
2018-01-22,48.572110833333184
2018-01-23,44.58903666666646
2018-01-24,43.90644083333324
2018-01-25,48.621435000000325
2018-01-26,47.50645250000033
2018-01-27,48.10386615942042
2018-01-28,46.731910000000184
2018-01-29,45.90727083333316
2018-01-30,43.11420749999976
2018-01-31,35.85237916666636
2018-02-01,39.723253333333396
2018-02-02,39.29420666666699
2018-02-03,25.435675833333317
2018-02-04,23.47257083333328
2018-02-05,26.753788333333315
2018-02-06,32.915092499999695
2018-02-07,38.20738416666667
2018-02-08,39.32254666666653
2018-02-09,38.24416999999981
2018-02-10,43.02704249999968
2018-02-11,41.64521249999958
2018-02-12,41.35384083333299
2018-02-13,23.68566833333332
2018-02-14,17.795633333333342
2018-02-15,23.607655833333478
2018-02-16,28.252393333333504
2018-02-17,26.424502499999853
2018-02-18,25.704379166666754
2018-02-19,26.70795916666648
2018-02-20,21.257902499999908
2018-02-21,16.046196666666678
2018-02-22,18.997080000000004
2018-02-23,23.24609083333326
2018-02-24,25.590435833333405
2018-02-25,28.252981666666553
2018-02-26,27.566063333333407
2018-02-27,23.068657282608886
2018-02-28,18.698260289855128
2018-03-01,40.300664166666586
2018-03-02,38.15360000000012
2018-03-03,26.434980833333437
2018-03-04,21.817281666666577
2018-03-05,26.8482216666667
2018-03-06,31.64571583333315
2018-03-07,32.422012499999795
2018-03-08,36.79885499999993
2018-03-09,36.298764999999904
2018-03-10,54.284484999999584
2018-03-11,50.50973083333298
2018-03-12,43.92156833333307
2018-03-13,24.259884166666577
2018-03-14,24.833014166666803
2018-03-15,30.660154166666548
2018-03-16,33.32754249999998
2018-03-17,33.53622750000004
2018-03-18,28.937215833333457
2018-03-19,25.81131166666656
2018-03-20,20.604664999999876
2018-03-21,27.691910833333118
2018-03-22,30.63599999999987
2018-03-23,29.430100000000134
2018-03-24,28.157243152173976
2018-03-25,26.603962137681254
2018-03-26,24.312433913043503
2018-03-27,15.75469938405811
2018-03-28,12.946585760869581
2018-03-29,24.66500789855079
2018-03-30,28.11832945652197
2018-03-31,28.489820471014667
2018-04-01,43.73011583333343
2018-04-02,34.92828250000026
2018-04-03,26.203929999999875
2018-04-04,27.354765833333413
2018-04-05,28.696240833333515
2018-04-06,27.476796666666505
2018-04-07,31.75668666666651
2018-04-08,35.402928333333215
2018-04-09,32.24372333333338
2018-04-10,40.72047833333313
2018-04-11,43.219715833333375
2018-04-12,40.78771666666663
2018-04-13,30.055564999999913
2018-04-14,28.017675833333524
2018-04-15,25.562602499999866
2018-04-16,23.839306666666644
2018-04-17,25.93186999999999
2018-04-18,31.450859166666753
2018-04-19,29.78897666666661
2018-04-20,26.981670833333144
2018-04-21,28.36311499999983
2018-04-22,25.47065083333331
2018-04-23,27.13823916666657
2018-04-24,25.69520833333308
2018-04-25,36.07083999999982
2018-04-26,37.25395666666646
2018-04-27,35.852748514492674
2018-04-28,36.99138847826079
2018-04-29,34.72360833333319
2018-04-30,32.73019083333338
2018-05-01,47.443407499999886
2018-05-02,35.19801500000007
2018-05-03,23.662701666666653
2018-05-04,29.333838333333212
2018-05-05,26.802058333333473
2018-05-06,24.383640833333462
2018-05-07,34.716241666666804
2018-05-08,36.639974166666825
2018-05-09,36.104975000000124
2018-05-10,42.180630833333275
2018-05-11,42.3930624999999
2018-05-12,47.066078333333365
2018-05-13,25.192831666666592
2018-05-14,18.318466666666676
2018-05-15,12.96977916666665
2018-05-16,25.931102499999895
2018-05-17,29.325524999999896
2018-05-18,31.64398249999989
2018-05-19,30.93749000000025
2018-05-20,28.888530833333608
2018-05-21,26.144090833333525
2018-05-22,17.804080000000003
2018-05-23,27.82241916666657
2018-05-24,29.698062500000038
2018-05-25,31.28452583333322
2018-05-26,29.907214999999912
2018-05-27,29.717749094202983
2018-05-28,26.094673985507153
2018-05-29,22.073624999999904
2018-05-30,29.943883333333076
2018-05-31,31.724683333333076
2018-06-01,44.12797833333302
2018-06-02,31.879583333333194
2018-06-03,20.657308333333162
2018-06-04,27.15912999999985
2018-06-05,30.008399166666734
2018-06-06,31.853673333333518
2018-06-07,36.37462749999995
2018-06-08,37.30052166666667
2018-06-09,36.05918666666656
2018-06-10,47.32954416666671
2018-06-11,40.1441099999999
2018-06-12,49.39566499999992
2018-06-13,33.42618416666688
2018-06-14,32.51756833333363
2018-06-15,32.370190833333396
2018-06-16,31.630545000000062
2018-06-17,29.955894166666805
2018-06-18,26.029140833333265
2018-06-19,24.972935000000035
2018-06-20,37.629242500000004
2018-06-21,35.93684833333331
2018-06-22,34.619337499999816
2018-06-23,37.18710166666643
2018-06-24,36.14986166666671
2018-06-25,34.64962833333352
2018-06-26,30.988682500000017
2018-06-27,35.86628865942042
2018-06-28,34.918688333333506
2018-06-29,33.77561416666693
2018-06-30,34.4213
2018-07-01,47.12773583333361
2018-07-02,21.03979416666681
2018-07-03,26.119477500000166
2018-07-04,27.240216666666758
